time,latitude,longitude,id,cluster-id
1211648773,37.75076,-122.40022,abmuyawm,47
1211648912,37.75882,-122.40106,abmuyawm,-1
1211648957,37.76286,-122.40136,abmuyawm,48
1211649092,37.77101,-122.40062,abmuyawm,49
1211650036,37.78743,-122.40245,abmuyawm,1
1211650156,37.78951,-122.40431,abmuyawm,1
1211650398,37.7896,-122.42064,abmuyawm,1
1211650458,37.79133,-122.42088,abmuyawm,1
1211650652,37.79617,-122.41937,abmuyawm,1
1211653504,37.78652,-122.40615,abmuyawm,1
1211653874,37.79316,-122.40347,abmuyawm,1
1211654301,37.79199,-122.41064,abmuyawm,1
1211654414,37.79211,-122.41078,abmuyawm,1
1211654544,37.79219,-122.41074,abmuyawm,1
1211654595,37.79219,-122.4107,abmuyawm,1
1211654655,37.79217,-122.41075,abmuyawm,1
1211654715,37.79217,-122.41074,abmuyawm,1
1211654896,37.79222,-122.41087,abmuyawm,1
1211654956,37.79218,-122.41089,abmuyawm,1
1211655059,37.79343,-122.41117,abmuyawm,50
1211655401,37.7893,-122.40731,abmuyawm,1
1211656187,37.7884,-122.42212,abmuyawm,1
1211656345,37.78549,-122.41544,abmuyawm,1
1211656599,37.78602,-122.41162,abmuyawm,1
1211659134,37.78549,-122.41281,abmuyawm,1
1211659863,37.78549,-122.41287,abmuyawm,1
1211659923,37.78548,-122.41285,abmuyawm,1
1211660044,37.7856,-122.41274,abmuyawm,1
1211660112,37.78561,-122.41274,abmuyawm,1
1211684111,37.7692,-122.41465,abmuyawm,51
1211684343,37.76915,-122.41461,abmuyawm,51
1211684414,37.76913,-122.41465,abmuyawm,51
1211685540,37.76446,-122.43263,abmuyawm,9
1211687236,37.77988,-122.43156,abmuyawm,1
1211688501,37.76073,-122.43507,abmuyawm,9
1211689853,37.76536,-122.43545,abmuyawm,52
1211693666,37.76646,-122.45289,abmuyawm,4
1211697764,37.77093,-122.41291,abmuyawm,1
1211698896,37.76163,-122.43508,abmuyawm,9
1211706293,37.79394,-122.40779,abmuyawm,1
1211707456,37.7808,-122.40285,abmuyawm,1
1211707504,37.78083,-122.40283,abmuyawm,1
1211708132,37.76628,-122.42684,abmuyawm,53
1211708225,37.76487,-122.43242,abmuyawm,9
1211708271,37.76487,-122.43242,abmuyawm,9
1211708305,37.76378,-122.43372,abmuyawm,9
1211708365,37.7611,-122.44113,abmuyawm,54
1211708425,37.7576,-122.44313,abmuyawm,228
1211708485,37.75272,-122.44282,abmuyawm,55
1211709104,37.75556,-122.43447,abmuyawm,56
1211709234,37.76225,-122.43505,abmuyawm,9
1211709473,37.76191,-122.44489,abmuyawm,57
1211710076,37.76093,-122.48662,abmuyawm,-1
1211710132,37.76091,-122.48663,abmuyawm,-1
1211711189,37.77629,-122.42078,abmuyawm,1
1211711441,37.76602,-122.40439,abmuyawm,-1
1211713603,37.7799,-122.42935,abmuyawm,58
1211714041,37.77673,-122.4177,abmuyawm,1
1211714061,37.77673,-122.4177,abmuyawm,1
1211714699,37.75481,-122.4094,abmuyawm,59
1211755987,37.77146,-122.44571,abmuyawm,4
1211756037,37.77146,-122.4457,abmuyawm,4
1211757413,37.77044,-122.4018,abmuyawm,-1
1211763164,37.79814,-122.42,abmuyawm,-1
1211763224,37.79812,-122.41999,abmuyawm,-1
1211764178,37.76462,-122.42881,abmuyawm,60
1211764196,37.76462,-122.4288,abmuyawm,60
1211764664,37.7606,-122.43503,abmuyawm,9
1211764714,37.76063,-122.435,abmuyawm,9
1211765439,37.76073,-122.43506,abmuyawm,9
1211765570,37.76083,-122.43494,abmuyawm,9
1211765585,37.7608,-122.43495,abmuyawm,9
1211765589,37.7608,-122.43495,abmuyawm,9
1211767409,37.78723,-122.42187,abmuyawm,1
1211767711,37.78715,-122.42186,abmuyawm,1
1211767771,37.78717,-122.42183,abmuyawm,1
1211769708,37.79104,-122.4027,abmuyawm,1
1211771398,37.78593,-122.42189,abmuyawm,1
1211771519,37.78589,-122.42191,abmuyawm,1
1211771546,37.7859,-122.42191,abmuyawm,1
1211790076,37.79865,-122.43585,abmuyawm,1
1211790136,37.79869,-122.43583,abmuyawm,1
1211790435,37.79979,-122.42934,abmuyawm,1
1211851753,37.78669,-122.40649,abmuyawm,1
1211862595,37.73237,-122.44544,abmuyawm,-1
1211865771,37.76004,-122.42838,abmuyawm,-1
1211876285,37.79569,-122.4234,abmuyawm,1
1211876718,37.79961,-122.40807,abmuyawm,1
1211876959,37.79955,-122.4084,abmuyawm,1
1211877504,37.79759,-122.40546,abmuyawm,1
1211877685,37.79766,-122.40546,abmuyawm,1
1211878312,37.79766,-122.40531,abmuyawm,1
1211882424,37.7854,-122.41794,abmuyawm,1
1211882545,37.78546,-122.41799,abmuyawm,1
1211882969,37.7856,-122.41795,abmuyawm,1
1211883029,37.78558,-122.41793,abmuyawm,1
1211883209,37.78547,-122.41792,abmuyawm,1
1211883269,37.78548,-122.41792,abmuyawm,1
1211883510,37.7855,-122.41784,abmuyawm,1
1211883692,37.78552,-122.41786,abmuyawm,1
1211909273,37.76055,-122.46167,abmuyawm,61
